Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary
Leo,low,super,good,good,middle,super
Liam,low,middle,low,middle,good,low
Neil,low,low,good,middle,good,good
Wesley,low,good,good,low,middle,good
Hugo,low,low,low,low,low,low
Kathy,low,low,super,middle,good,super
Emily,low,good,low,good,low,good
Bob,low,low,middle,good,low,low
Lenny,low,good,middle,low,middle,low
Jeff,low,low,low,super,super,super
Nina,low,super,low,middle,middle,super
Mabel,low,low,super,middle,low,super
Kristen,low,low,super,middle,super,super
Gail,low,middle,low,good,low,low
Yasmine,low,low,good,good,low,good
Tim,low,middle,middle,low,low,low
Yvonne,low,good,good,good,low,good
Owen,low,middle,middle,middle,super,super
Fay,low,low,low,good,low,low
Jack,low,low,good,low,low,low
Norm,low,middle,low,middle,super,super
Duke,low,middle,low,low,middle,low
Tracy,low,good,good,middle,middle,good
Rose,low,low,low,low,good,low
Steve,low,middle,middle,middle,good,middle
Irene,low,middle,super,good,low,super
Roger,low,low,low,middle,good,low
Sam,low,middle,low,low,good,low
Victor,low,low,low,middle,low,low
Gwen,low,good,low,good,super,super
Otis,low,middle,good,low,low,low
Quinn,low,low,middle,low,low,low
Ian,low,middle,super,good,super,super
Megan,low,low,low,middle,middle,low
Eve,low,super,low,super,good,super
Kim,low,good,good,super,low,super
Xiomara,low,low,low,low,super,super
Louis,low,low,low,middle,middle,low
Leonard,low,middle,super,low,super,super
Mindy,low,middle,middle,middle,low,middle
Trevor,low,middle,good,super,super,super
Oscar,low,middle,middle,low,low,low
Pam,low,super,good,middle,low,super
Grace,low,middle,low,middle,low,low
Upton,low,good,super,super,middle,super
Avery,low,low,low,good,super,super
Howard,low,good,low,good,middle,good
Daisy,low,middle,good,low,low,low
Dave,low,middle,low,low,low,low
Ursula,low,middle,low,super,good,super
Bill,low,low,good,super,low,super
Vivian,low,low,low,super,middle,super
Xyla,low,low,good,low,good,good
Ulrich,low,low,low,middle,super,super
Katie,low,low,low,super,low,super
Preston,low,middle,good,low,super,super
Queenie,low,low,good,low,good,good
Gerald,low,middle,low,good,low,low
Isaac,low,middle,middle,super,low,super
Nick,low,middle,low,middle,low,low
Gina,low,middle,middle,middle,good,middle
Alice,low,super,middle,low,good,super
Arthur,low,low,middle,low,low,low
Catherine,low,low,super,low,super,super
Walter,low,low,super,middle,low,super
Amy,low,middle,super,super,super,super
Wilma,low,middle,low,super,low,super
Ned,low,middle,good,middle,middle,middle
Vera,low,low,low,middle,super,super
Ivy,low,low,low,low,low,low
Susie,low,middle,low,low,middle,low
Tina,low,super,middle,middle,middle,super
Daniel,low,low,middle,low,middle,low
Camille,low,low,low,middle,low,low
Rhonda,low,middle,good,low,good,good
Ron,low,low,middle,low,middle,low
Paul,low,low,low,low,low,low
Olivia,low,middle,low,low,low,low
Tom,low,good,good,low,low,good
Quincy,low,good,low,low,low,low
Zinnia,low,low,good,good,super,super
George,low,good,low,low,low,low
Ken,low,low,good,low,good,good
Clara,low,middle,low,super,middle,super
Mary,low,super,low,super,low,super
Quasar,low,low,low,super,middle,super
Yogi,low,good,middle,super,low,super
Julian,low,good,low,low,low,low
Ulysses,low,low,good,low,super,super
Ulla,low,good,super,low,middle,super
Helen,low,middle,super,good,middle,super
Dexter,low,low,good,low,middle,low
Carlos,low,low,low,good,low,low
Xander,low,super,low,good,low,super
Olive,low,middle,super,middle,middle,super
Tabitha,low,super,middle,middle,low,super
Ella,low,good,low,low,low,low
Maureen,low,low,low,low,super,super
Wanda,low,low,super,low,low,super
Angela,low,super,good,low,low,super
