Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills
Leo,low,super,good,good,middle
Liam,low,middle,low,middle,good
Neil,low,low,good,middle,good
Wesley,low,good,good,low,middle
Hugo,low,low,low,low,low
Kathy,low,low,super,middle,good
Emily,low,good,low,good,low
Bob,low,low,middle,good,low
Lenny,low,good,middle,low,middle
Jeff,low,low,low,super,super
Nina,low,super,low,middle,middle
Mabel,low,low,super,middle,low
Kristen,low,low,super,middle,super
Gail,low,middle,low,good,low
Yasmine,low,low,good,good,low
Tim,low,middle,middle,low,low
Yvonne,low,good,good,good,low
Owen,low,middle,middle,middle,super
Fay,low,low,low,good,low
Jack,low,low,good,low,low
Norm,low,middle,low,middle,super
Duke,low,middle,low,low,middle
Tracy,low,good,good,middle,middle
Rose,low,low,low,low,good
Steve,low,middle,middle,middle,good
Irene,low,middle,super,good,low
Roger,low,low,low,middle,good
Sam,low,middle,low,low,good
Victor,low,low,low,middle,low
Gwen,low,good,low,good,super
Otis,low,middle,good,low,low
Quinn,low,low,middle,low,low
Ian,low,middle,super,good,super
Megan,low,low,low,middle,middle
Eve,low,super,low,super,good
Kim,low,good,good,super,low
Xiomara,low,low,low,low,super
Louis,low,low,low,middle,middle
Leonard,low,middle,super,low,super
Mindy,low,middle,middle,middle,low
Trevor,low,middle,good,super,super
Oscar,low,middle,middle,low,low
Pam,low,super,good,middle,low
Grace,low,middle,low,middle,low
Upton,low,good,super,super,middle
Avery,low,low,low,good,super
Howard,low,good,low,good,middle
Daisy,low,middle,good,low,low
Dave,low,middle,low,low,low
Ursula,low,middle,low,super,good
Bill,low,low,good,super,low
Vivian,low,low,low,super,middle
Xyla,low,low,good,low,good
Ulrich,low,low,low,middle,super
Katie,low,low,low,super,low
Preston,low,middle,good,low,super
Queenie,low,low,good,low,good
Gerald,low,middle,low,good,low
Isaac,low,middle,middle,super,low
Nick,low,middle,low,middle,low
Gina,low,middle,middle,middle,good
Alice,low,super,middle,low,good
Arthur,low,low,middle,low,low
Catherine,low,low,super,low,super
Walter,low,low,super,middle,low
Amy,low,middle,super,super,super
Wilma,low,middle,low,super,low
Ned,low,middle,good,middle,middle
Vera,low,low,low,middle,super
Ivy,low,low,low,low,low
Susie,low,middle,low,low,middle
Tina,low,super,middle,middle,middle
Daniel,low,low,middle,low,middle
Camille,low,low,low,middle,low
Rhonda,low,middle,good,low,good
Ron,low,low,middle,low,middle
Paul,low,low,low,low,low
Olivia,low,middle,low,low,low
Tom,low,good,good,low,low
Quincy,low,good,low,low,low
Zinnia,low,low,good,good,super
George,low,good,low,low,low
Ken,low,low,good,low,good
Clara,low,middle,low,super,middle
Mary,low,super,low,super,low
Quasar,low,low,low,super,middle
Yogi,low,good,middle,super,low
Julian,low,good,low,low,low
Ulysses,low,low,good,low,super
Ulla,low,good,super,low,middle
Helen,low,middle,super,good,middle
Dexter,low,low,good,low,middle
Carlos,low,low,low,good,low
Xander,low,super,low,good,low
Olive,low,middle,super,middle,middle
Tabitha,low,super,middle,middle,low
Ella,low,good,low,low,low
Maureen,low,low,low,low,super
Wanda,low,low,super,low,low
Angela,low,super,good,low,low
