Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary,Evaluation,Comments
Leo,low,super,good,good,middle,super,super,3.6,Excellent
Liam,low,middle,low,middle,good,low,low,2.8,Promising
Neil,low,low,good,middle,good,good,good,3,Promising
Wesley,low,good,good,low,middle,good,good,3,Promising
Hugo,low,low,low,low,low,low,low,2,Promising
Kathy,low,low,super,middle,good,super,super,3.2,Excellent
Emily,low,good,low,good,low,good,good,2.8,Promising
Bob,low,low,middle,good,low,low,low,2.6,Promising
Lenny,low,good,middle,low,middle,low,low,2.8,Promising
Jeff,low,low,low,super,super,super,super,3.2,Excellent
Nina,low,super,low,middle,middle,super,super,3,Excellent
Mabel,low,low,super,middle,low,super,super,2.8,Good but inconsistent
Kristen,low,low,super,middle,super,super,super,3.4,Excellent
Gail,low,middle,low,good,low,low,low,2.6,Promising
Yasmine,low,low,good,good,low,good,good,2.8,Promising
Tim,low,middle,middle,low,low,low,low,2.4,Promising
Yvonne,low,good,good,good,low,good,good,3.2,Promising
Owen,low,middle,middle,middle,super,super,super,3.2,Excellent
Fay,low,low,low,good,low,low,low,2.4,Promising
Jack,low,low,good,low,low,low,low,2.4,Promising
Norm,low,middle,low,middle,super,super,super,3,Excellent
Duke,low,middle,low,low,middle,low,low,2.4,Promising
Tracy,low,good,good,middle,middle,good,good,3.2,Promising
Rose,low,low,low,low,good,low,low,2.4,Promising
Steve,low,middle,middle,middle,good,middle,middle,3,Promising
Irene,low,middle,super,good,low,super,super,3.2,Excellent
Roger,low,low,low,middle,good,low,low,2.6,Promising
Sam,low,middle,low,low,good,low,low,2.6,Promising
Victor,low,low,low,middle,low,low,low,2.2,Promising
Gwen,low,good,low,good,super,super,super,3.4,Excellent
Otis,low,middle,good,low,low,low,low,2.6,Promising
Quinn,low,low,middle,low,low,low,low,2.2,Promising
Ian,low,middle,super,good,super,super,super,3.8,Excellent
Megan,low,low,low,middle,middle,low,low,2.4,Promising
Eve,low,super,low,super,good,super,super,3.6,Excellent
Kim,low,good,good,super,low,super,super,3.4,Excellent
Xiomara,low,low,low,low,super,super,super,2.6,Good but inconsistent
Louis,low,low,low,middle,middle,low,low,2.4,Promising
Leonard,low,middle,super,low,super,super,super,3.4,Excellent
Mindy,low,middle,middle,middle,low,middle,middle,2.6,Promising
Trevor,low,middle,good,super,super,super,super,3.8,Excellent
Oscar,low,middle,middle,low,low,low,low,2.4,Promising
Pam,low,super,good,middle,low,super,super,3.2,Excellent
Grace,low,middle,low,middle,low,low,low,2.4,Promising
Upton,low,good,super,super,middle,super,super,3.8,Excellent
Avery,low,low,low,good,super,super,super,3,Excellent
Howard,low,good,low,good,middle,good,good,3,Promising
Daisy,low,middle,good,low,low,low,low,2.6,Promising
Dave,low,middle,low,low,low,low,low,2.2,Promising
Ursula,low,middle,low,super,good,super,super,3.2,Excellent
Bill,low,low,good,super,low,super,super,3,Excellent
Vivian,low,low,low,super,middle,super,super,2.8,Good but inconsistent
Xyla,low,low,good,low,good,good,good,2.8,Promising
Ulrich,low,low,low,middle,super,super,super,2.8,Good but inconsistent
Katie,low,low,low,super,low,super,super,2.6,Good but inconsistent
Preston,low,middle,good,low,super,super,super,3.2,Excellent
Queenie,low,low,good,low,good,good,good,2.8,Promising
Gerald,low,middle,low,good,low,low,low,2.6,Promising
Isaac,low,middle,middle,super,low,super,super,3,Excellent
Nick,low,middle,low,middle,low,low,low,2.4,Promising
Gina,low,middle,middle,middle,good,middle,middle,3,Promising
Alice,low,super,middle,low,good,super,super,3.2,Excellent
Arthur,low,low,middle,low,low,low,low,2.2,Promising
Catherine,low,low,super,low,super,super,super,3.2,Excellent
Walter,low,low,super,middle,low,super,super,2.8,Good but inconsistent
Amy,low,middle,super,super,super,super,super,4,Excellent
Wilma,low,middle,low,super,low,super,super,2.8,Good but inconsistent
Ned,low,middle,good,middle,middle,middle,middle,3,Promising
Vera,low,low,low,middle,super,super,super,2.8,Good but inconsistent
Ivy,low,low,low,low,low,low,low,2,Promising
Susie,low,middle,low,low,middle,low,low,2.4,Promising
Tina,low,super,middle,middle,middle,super,super,3.2,Excellent
Daniel,low,low,middle,low,middle,low,low,2.4,Promising
Camille,low,low,low,middle,low,low,low,2.2,Promising
Rhonda,low,middle,good,low,good,good,good,3,Promising
Ron,low,low,middle,low,middle,low,low,2.4,Promising
Paul,low,low,low,low,low,low,low,2,Promising
Olivia,low,middle,low,low,low,low,low,2.2,Promising
Tom,low,good,good,low,low,good,good,2.8,Promising
Quincy,low,good,low,low,low,low,low,2.4,Promising
Zinnia,low,low,good,good,super,super,super,3.4,Excellent
George,low,good,low,low,low,low,low,2.4,Promising
Ken,low,low,good,low,good,good,good,2.8,Promising
Clara,low,middle,low,super,middle,super,super,3,Excellent
Mary,low,super,low,super,low,super,super,3.2,Excellent
Quasar,low,low,low,super,middle,super,super,2.8,Good but inconsistent
Yogi,low,good,middle,super,low,super,super,3.2,Excellent
Julian,low,good,low,low,low,low,low,2.4,Promising
Ulysses,low,low,good,low,super,super,super,3,Excellent
Ulla,low,good,super,low,middle,super,super,3.2,Excellent
Helen,low,middle,super,good,middle,super,super,3.4,Excellent
Dexter,low,low,good,low,middle,low,low,2.6,Promising
Carlos,low,low,low,good,low,low,low,2.4,Promising
Xander,low,super,low,good,low,super,super,3,Excellent
Olive,low,middle,super,middle,middle,super,super,3.2,Excellent
Tabitha,low,super,middle,middle,low,super,super,3,Excellent
Ella,low,good,low,low,low,low,low,2.4,Promising
Maureen,low,low,low,low,super,super,super,2.6,Good but inconsistent
Wanda,low,low,super,low,low,super,super,2.6,Good but inconsistent
Angela,low,super,good,low,low,super,super,3,Excellent
