Name,Technical Skills,Soft Skills,Business Skills,Creative Skills,Academic Skills,Summary,Evaluation
Leo,low,super,good,good,middle,super,super,3.6
Liam,low,middle,low,middle,good,low,low,2.8
Neil,low,low,good,middle,good,good,good,3
Wesley,low,good,good,low,middle,good,good,3
Hugo,low,low,low,low,low,low,low,2
Kathy,low,low,super,middle,good,super,super,3.2
Emily,low,good,low,good,low,good,good,2.8
Bob,low,low,middle,good,low,low,low,2.6
Lenny,low,good,middle,low,middle,low,low,2.8
Jeff,low,low,low,super,super,super,super,3.2
Nina,low,super,low,middle,middle,super,super,3
Mabel,low,low,super,middle,low,super,super,2.8
Kristen,low,low,super,middle,super,super,super,3.4
Gail,low,middle,low,good,low,low,low,2.6
Yasmine,low,low,good,good,low,good,good,2.8
Tim,low,middle,middle,low,low,low,low,2.4
Yvonne,low,good,good,good,low,good,good,3.2
Owen,low,middle,middle,middle,super,super,super,3.2
Fay,low,low,low,good,low,low,low,2.4
Jack,low,low,good,low,low,low,low,2.4
Norm,low,middle,low,middle,super,super,super,3
Duke,low,middle,low,low,middle,low,low,2.4
Tracy,low,good,good,middle,middle,good,good,3.2
Rose,low,low,low,low,good,low,low,2.4
Steve,low,middle,middle,middle,good,middle,middle,3
Irene,low,middle,super,good,low,super,super,3.2
Roger,low,low,low,middle,good,low,low,2.6
Sam,low,middle,low,low,good,low,low,2.6
Victor,low,low,low,middle,low,low,low,2.2
Gwen,low,good,low,good,super,super,super,3.4
Otis,low,middle,good,low,low,low,low,2.6
Quinn,low,low,middle,low,low,low,low,2.2
Ian,low,middle,super,good,super,super,super,3.8
Megan,low,low,low,middle,middle,low,low,2.4
Eve,low,super,low,super,good,super,super,3.6
Kim,low,good,good,super,low,super,super,3.4
Xiomara,low,low,low,low,super,super,super,2.6
Louis,low,low,low,middle,middle,low,low,2.4
Leonard,low,middle,super,low,super,super,super,3.4
Mindy,low,middle,middle,middle,low,middle,middle,2.6
Trevor,low,middle,good,super,super,super,super,3.8
Oscar,low,middle,middle,low,low,low,low,2.4
Pam,low,super,good,middle,low,super,super,3.2
Grace,low,middle,low,middle,low,low,low,2.4
Upton,low,good,super,super,middle,super,super,3.8
Avery,low,low,low,good,super,super,super,3
Howard,low,good,low,good,middle,good,good,3
Daisy,low,middle,good,low,low,low,low,2.6
Dave,low,middle,low,low,low,low,low,2.2
Ursula,low,middle,low,super,good,super,super,3.2
Bill,low,low,good,super,low,super,super,3
Vivian,low,low,low,super,middle,super,super,2.8
Xyla,low,low,good,low,good,good,good,2.8
Ulrich,low,low,low,middle,super,super,super,2.8
Katie,low,low,low,super,low,super,super,2.6
Preston,low,middle,good,low,super,super,super,3.2
Queenie,low,low,good,low,good,good,good,2.8
Gerald,low,middle,low,good,low,low,low,2.6
Isaac,low,middle,middle,super,low,super,super,3
Nick,low,middle,low,middle,low,low,low,2.4
Gina,low,middle,middle,middle,good,middle,middle,3
Alice,low,super,middle,low,good,super,super,3.2
Arthur,low,low,middle,low,low,low,low,2.2
Catherine,low,low,super,low,super,super,super,3.2
Walter,low,low,super,middle,low,super,super,2.8
Amy,low,middle,super,super,super,super,super,4
Wilma,low,middle,low,super,low,super,super,2.8
Ned,low,middle,good,middle,middle,middle,middle,3
Vera,low,low,low,middle,super,super,super,2.8
Ivy,low,low,low,low,low,low,low,2
Susie,low,middle,low,low,middle,low,low,2.4
Tina,low,super,middle,middle,middle,super,super,3.2
Daniel,low,low,middle,low,middle,low,low,2.4
Camille,low,low,low,middle,low,low,low,2.2
Rhonda,low,middle,good,low,good,good,good,3
Ron,low,low,middle,low,middle,low,low,2.4
Paul,low,low,low,low,low,low,low,2
Olivia,low,middle,low,low,low,low,low,2.2
Tom,low,good,good,low,low,good,good,2.8
Quincy,low,good,low,low,low,low,low,2.4
Zinnia,low,low,good,good,super,super,super,3.4
George,low,good,low,low,low,low,low,2.4
Ken,low,low,good,low,good,good,good,2.8
Clara,low,middle,low,super,middle,super,super,3
Mary,low,super,low,super,low,super,super,3.2
Quasar,low,low,low,super,middle,super,super,2.8
Yogi,low,good,middle,super,low,super,super,3.2
Julian,low,good,low,low,low,low,low,2.4
Ulysses,low,low,good,low,super,super,super,3
Ulla,low,good,super,low,middle,super,super,3.2
Helen,low,middle,super,good,middle,super,super,3.4
Dexter,low,low,good,low,middle,low,low,2.6
Carlos,low,low,low,good,low,low,low,2.4
Xander,low,super,low,good,low,super,super,3
Olive,low,middle,super,middle,middle,super,super,3.2
Tabitha,low,super,middle,middle,low,super,super,3
Ella,low,good,low,low,low,low,low,2.4
Maureen,low,low,low,low,super,super,super,2.6
Wanda,low,low,super,low,low,super,super,2.6
Angela,low,super,good,low,low,super,super,3
